fips_key,state_abbr,state_name,county_name,population,median_income,unemployment_rate,disaster_count,obesity_rate,diabetes_rate,smoking_rate,binge_drinking_rate
06001,CA,California,Alameda,1673133,112017,4.1,24,22.8,11.0,9.3,16.3
06003,CA,California,Alpine,1344,96000,5.8,15,28.7,8.5,11.0,20.0
06005,CA,California,Amador,40095,69955,5.1,21,29.6,11.8,12.2,19.9
06007,CA,California,Butte,217884,59863,5.4,39,30.6,9.9,12.8,18.8
06009,CA,California,Calaveras,45349,70119,5.5,23,29.8,13.2,13.9,19.3
06011,CA,California,Colusa,21780,61861,14.7,19,35.0,13.4,13.5,17.9
06013,CA,California,Contra Costa,1161643,110455,4.1,21,28.0,11.3,9.3,15.1
06015,CA,California,Del Norte,27655,53280,6.6,21,30.9,12.5,15.1,18.2
06017,CA,California,El Dorado,190568,88770,4.4,27,27.7,10.8,10.4,16.9
06019,CA,California,Fresno,1003150,61276,7.9,20,37.7,12.7,13.4,14.5
06021,CA,California,Glenn,28675,56332,7.0,21,32.1,11.1,13.9,16.4
06023,CA,California,Humboldt,137014,53350,4.9,27,31.3,11.4,15.0,17.1
06025,CA,California,Imperial,180051,49078,18.3,15,35.2,14.6,13.3,15.9
06027,CA,California,Inyo,18804,60925,4.2,16,28.2,12.4,12.4,15.4
06029,CA,California,Kern,905644,58824,8.4,40,36.2,13.3,14.7,16.8
06031,CA,California,Kings,151887,63267,8.9,19,34.7,12.1,14.8,17.5
06033,CA,California,Lake,67749,53399,7.6,35,32.8,10.7,15.6,18.0
06035,CA,California,Lassen,32949,59292,5.8,19,34.3,10.6,16.2,19.2
06037,CA,California,Los Angeles,10019635,76367,5.1,88,26.4,11.6,11.2,15.0
06039,CA,California,Madera,156304,66709,7.3,25,36.7,13.5,14.9,15.6
06041,CA,California,Marin,262387,131008,3.7,26,21.3,10.2,8.2,18.9
06043,CA,California,Mariposa,17225,53304,5.6,24,30.5,13.5,13.3,19.1
06045,CA,California,Mendocino,91534,56378,5.4,33,29.5,10.4,14.3,15.4
06047,CA,California,Merced,279150,58861,9.6,19,33.8,13.3,14.5,15.8
06049,CA,California,Modoc,8723,51090,8.0,17,32.3,10.3,14.8,18.0
06051,CA,California,Mono,13291,71138,4.5,14,31.2,10.5,11.7,19.0
06053,CA,California,Monterey,438953,82013,9.2,33,31.4,12.5,11.9,17.1
06055,CA,California,Napa,138795,97498,3.9,39,27.9,11.4,10.4,15.9
06057,CA,California,Nevada,102090,74617,4.2,23,27.6,11.5,11.5,19.9
06059,CA,California,Orange,3182923,100485,3.6,41,23.9,11.5,9.2,15.0
06061,CA,California,Placer,400330,99734,3.8,26,27.2,7.9,9.4,18.7
06063,CA,California,Plumas,19631,57885,7.7,23,29.9,13.5,13.0,14.4
06065,CA,California,Riverside,2409331,76066,4.9,65,37.0,11.3,11.6,15.1
06067,CA,California,Sacramento,1571767,76422,4.4,23,29.6,11.2,11.8,14.2
06069,CA,California,San Benito,63329,95606,6.2,18,31.5,10.5,10.8,17.1
06071,CA,California,San Bernardino,2171071,70287,4.7,61,33.3,11.8,12.4,15.6
06073,CA,California,San Diego,3296317,88240,3.9,51,25.4,9.4,10.0,17.2
06075,CA,California,San Francisco,865933,126187,3.6,11,17.1,9.3,8.8,19.2
06077,CA,California,San Joaquin,771406,74962,6.3,25,30.6,11.7,12.6,14.1
06079,CA,California,San Luis Obispo,282771,82514,3.7,28,26.1,10.0,11.3,18.4
06081,CA,California,San Mateo,762488,136837,3.3,24,22.0,9.0,8.0,14.6
06083,CA,California,Santa Barbara,447651,84356,4.5,43,26.1,10.8,11.6,17.6
06085,CA,California,Santa Clara,1932022,140258,3.8,25,21.9,9.8,8.1,13.3
06087,CA,California,Santa Cruz,272138,96093,6.2,34,26.8,9.0,10.0,18.9
06089,CA,California,Shasta,181935,61937,4.9,41,29.3,9.4,13.8,19.6
06091,CA,California,Sierra,3079,56152,5.2,16,32.4,10.1,15.1,13.4
06093,CA,California,Siskiyou,44151,49857,7.5,23,32.0,9.9,14.4,18.8
06095,CA,California,Solano,451432,89648,4.6,30,31.3,12.1,11.3,15.1
06097,CA,California,Sonoma,492498,91607,3.7,36,26.1,8.6,10.6,17.8
06099,CA,California,Stanislaus,550842,68368,6.6,20,36.6,11.2,13.4,17.5
06101,CA,California,Sutter,99080,67003,8.8,20,29.5,12.8,13.9,15.6
06103,CA,California,Tehama,65345,52901,5.7,25,31.8,10.6,15.1,17.7
06105,CA,California,Trinity,15818,42206,5.7,32,33.3,15.9,17.7,13.8
06107,CA,California,Tulare,470999,57394,10.4,23,35.3,13.1,14.0,16.1
06109,CA,California,Tuolumne,55243,66846,4.9,21,29.0,12.1,12.9,19.5
06111,CA,California,Ventura,845255,94150,4.5,52,25.7,11.4,10.5,15.7
06113,CA,California,Yolo,216703,78386,5.2,22,27.9,10.1,9.8,17.3
06115,CA,California,Yuba,80404,62666,6.4,28,30.8,11.3,14.5,16.8
17001,IL,Illinois,Adams,65878,58587,3.3,21,38.2,9.6,,
17003,IL,Illinois,Alexander,5488,39871,6.1,17,45.3,13.8,20.2,13.8
17005,IL,Illinois,Bond,16804,53654,4.6,7,39.0,11.6,,20.0
17007,IL,Illinois,Boone,53592,74076,6.7,11,36.9,,14.3,17.5
17009,IL,Illinois,Brown,6330,59346,2.8,16,41.6,11.7,18.0,19.6
17011,IL,Illinois,Bureau,33338,59407,6.0,17,38.4,,,16.7
17013,IL,Illinois,Calhoun,4537,74792,4.4,25,35.3,11.9,12.9,21.9
17015,IL,Illinois,Carroll,15586,54959,4.8,16,,10.3,15.3,21.3
17017,IL,Illinois,Cass,13058,58364,4.2,21,40.6,11.2,15.8,17.1
17019,IL,Illinois,Champaign,206583,56939,4.2,12,31.1,9.6,,18.5
17021,IL,Illinois,Christian,34038,53188,4.3,8,38.1,12.3,16.1,18.5
17023,IL,Illinois,Clark,15587,66067,5.2,10,37.3,9.4,15.1,20.8
17025,IL,Illinois,Clay,13313,53900,5.8,5,41.5,10.9,17.8,20.1
17027,IL,Illinois,Clinton,37048,72468,3.4,7,40.2,11.3,14.0,21.3
17029,IL,Illinois,Coles,47542,48534,3.8,9,37.7,10.4,14.8,19.5
17031,IL,Illinois,Cook,5265398,72121,4.1,24,31.0,11.8,11.1,
17033,IL,Illinois,Crawford,18825,54942,4.5,9,40.1,12.1,15.7,20.4
17035,IL,Illinois,Cumberland,10528,66530,3.7,9,38.7,11.9,14.5,17.9
17037,IL,Illinois,DeKalb,100922,64019,4.7,12,37.1,10.6,14.0,19.7
17039,IL,Illinois,De Witt,15653,60401,4.1,11,37.9,9.6,15.3,17.7
17041,IL,Illinois,Douglas,19708,63142,3.4,13,38.8,9.8,15.5,20.4
17043,IL,Illinois,DuPage,934094,100292,3.3,16,29.1,,,15.9
17045,IL,Illinois,Edgar,16998,50843,4.0,9,37.5,,17.0,16.7
17047,IL,Illinois,Edwards,6233,55833,4.3,7,40.3,14.1,17.9,16.7
17049,IL,Illinois,Effingham,34576,65590,3.9,7,34.2,11.3,14.3,
17051,IL,Illinois,Fayette,21514,47744,5.4,8,40.1,11.0,17.8,19.9
