County Name,Total Population,Median Age,White Alone,Black/African American,Hispanic or Latino,Asian Alone,Median Household Income,Per Capita Income,Persons in Poverty,Unemployment Count,Total Housing Units,Median Gross Rent,Median Home Value,state,county
"Autauga County, Alabama",58761,39.0,43747,11496,1864,658,68315,35332,6630,752,24457,1199,191800,01,001
"Baldwin County, Alabama",233420,43.7,195998,19445,11210,2046,71039,38907,23445,3825,125113,1160,266000,01,003
"Barbour County, Alabama",24877,40.6,11309,11668,1202,126,39712,23378,5280,516,11673,627,102700,01,005
"Bibb County, Alabama",22251,40.3,16872,4603,650,69,50669,24966,4297,786,9046,765,120100,01,007
"Blount County, Alabama",59077,40.8,53941,729,5721,100,57440,29053,8277,1578,24677,734,159800,01,009
"Bullock County, Alabama",10328,39.2,2397,7117,907,43,36136,22115,2687,144,4541,619,87700,01,011
"Butler County, Alabama",18981,41.6,9777,8462,322,243,44429,26334,3937,548,9835,720,94800,01,013
"Calhoun County, Alabama",116162,39.2,83306,25631,4736,765,54339,28227,20267,3692,53167,806,140500,01,015
"Chambers County, Alabama",34612,42.2,19642,14114,1129,60,48805,27006,6080,559,16427,842,116900,01,017
"Cherokee County, Alabama",25069,46.8,22884,1008,479,27,46621,28422,3516,425,14687,700,158700,01,019
"Chilton County, Alabama",45140,39.9,36693,4257,3664,229,62471,28497,6422,1056,19546,814,136000,01,021
"Choctaw County, Alabama",12669,46.7,7180,5062,143,15,43299,26343,2388,249,7138,616,101600,01,023
"Clarke County, Alabama",23058,42.7,11862,10490,335,90,47549,29310,5073,1116,11733,723,126200,01,025
"Clay County, Alabama",14209,43.9,11581,1790,437,36,48074,27991,2440,315,7040,576,144100,01,027
"Cleburne County, Alabama",15144,42.2,14028,411,401,15,51553,28598,1931,152,6818,782,131900,01,029
"Coffee County, Alabama",53559,39.2,38834,8997,4500,563,62199,31227,8592,1095,24155,921,162200,01,031
"Colbert County, Alabama",57270,42.0,44698,9185,1837,214,56149,30724,8998,903,27709,810,148500,01,033
"Conecuh County, Alabama",11576,46.2,5751,5611,80,36,39888,24426,2122,171,6451,718,98800,01,035
"Coosa County, Alabama",10329,50.2,6859,3120,284,0,52279,28998,1102,178,6045,632,109500,01,037
"Covington County, Alabama",37542,42.9,31404,4606,749,218,48772,28528,6921,877,18644,701,124300,01,039
"Crenshaw County, Alabama",13205,42.3,9386,3059,335,154,48557,32396,1916,332,6553,595,100400,01,041
"Cullman County, Alabama",88284,41.4,81077,960,4056,278,58119,29788,11364,1789,39182,848,166000,01,043
"Dale County, Alabama",49455,37.7,34817,10416,3467,611,52813,28312,8469,1527,22829,829,123800,01,045
"Dallas County, Alabama",38326,40.4,10634,26467,430,240,37180,22798,10230,1445,18992,726,91600,01,047
"DeKalb County, Alabama",71680,39.6,59102,1043,11021,72,47920,24915,14251,1258,30716,684,129000,01,049
"Elmore County, Alabama",87694,38.9,64769,18276,2739,602,73258,34152,7986,1700,36787,982,200400,01,051
"Escambia County, Alabama",36755,40.5,22762,11138,940,90,41153,21758,7449,1313,16715,659,122000,01,053
"Etowah County, Alabama",103348,41.9,80555,15724,4561,748,52177,28479,16146,2847,47412,779,148400,01,055
"Fayette County, Alabama",16297,43.7,13727,2074,61,36,45650,27053,3543,672,7816,600,112700,01,057
"Franklin County, Alabama",32011,39.3,24853,1360,5892,35,47359,24874,5246,536,13940,596,121600,01,059
"Geneva County, Alabama",26647,43.6,22360,2472,1185,143,47608,25644,5480,437,12494,696,120700,01,061
"Greene County, Alabama",7706,41.1,1333,6305,24,0,32796,20862,2504,111,4271,682,88800,01,063
"Hale County, Alabama",14742,40.5,5663,8373,25,9,35851,23690,3613,450,7464,668,109400,01,065
"Henry County, Alabama",17282,44.6,12194,4375,469,96,58395,30273,2608,412,9110,678,132400,01,067
"Houston County, Alabama",107040,40.4,71260,29166,3844,987,55064,32126,18878,2403,49339,858,164900,01,069
"Jackson County, Alabama",52618,43.0,47208,1731,1685,213,46748,27695,9680,1312,24706,702,126900,01,071
"Jefferson County, Alabama",672265,37.9,338374,287203,27950,11712,63595,38224,103894,17733,308428,1086,208900,01,073
"Lamar County, Alabama",13885,44.2,11913,1527,76,23,49565,24794,2107,284,7104,495,108200,01,075
"Lauderdale County, Alabama",94329,40.8,79592,9317,2803,576,56081,32678,12188,1632,44705,773,174800,01,077
"Lawrence County, Alabama",33116,42.7,25421,3371,829,97,54786,29486,5182,423,15270,692,134200,01,079
"Lee County, Alabama",175126,33.0,120255,39363,6780,7614,59288,33083,31003,3196,75473,953,224400,01,081
"Limestone County, Alabama",104199,40.2,80040,13714,6588,1917,80146,37504,11287,2078,42616,861,229400,01,083
"Lowndes County, Alabama",10153,41.7,2493,7603,19,0,33125,23415,2552,302,4823,760,83400,01,085
"Macon County, Alabama",19198,37.8,3133,15142,453,78,41206,22449,4127,1010,9662,688,93900,01,087
"Madison County, Alabama",389781,38.5,254819,95400,20611,9675,78058,44720,40440,8515,171313,1043,242900,01,089
"Marengo County, Alabama",19180,41.7,8705,9750,542,151,42975,27210,4063,220,9834,702,98600,01,091
"Marion County, Alabama",29203,44.0,26673,1113,790,85,49743,25205,4707,800,14143,581,104300,01,093
"Marshall County, Alabama",97923,38.8,83991,2746,14751,600,58272,29509,15992,1641,41328,746,165600,01,095
"Mobile County, Alabama",413878,38.2,234657,150071,12565,8383,55352,30482,71353,11043,184845,973,164600,01,097
"Monroe County, Alabama",19816,43.7,10645,8384,44,47,39965,23090,4472,862,10214,692,109300,01,099
"Montgomery County, Alabama",228132,36.9,74723,134763,8597,7604,56707,32769,42877,7127,105488,1028,151300,01,101
"Morgan County, Alabama",123102,40.6,94056,16631,10845,605,61588,33223,16579,2407,53324,791,174800,01,103
"Perry County, Alabama",8479,41.8,2411,6004,82,7,32332,16581,2478,427,3985,560,81700,01,105
"Pickens County, Alabama",18925,42.9,10880,7506,987,10,45339,26912,3864,388,8714,578,119800,01,107
"Pike County, Alabama",32997,31.1,18678,12302,799,664,42616,26685,7242,717,16049,750,144500,01,109
"Randolph County, Alabama",22179,44.1,17068,4203,669,62,49879,27558,4277,289,12412,704,155000,01,111
"Russell County, Alabama",58849,37.2,27622,26410,3451,459,47420,25855,12816,1574,27382,908,141900,01,113
"St. Clair County, Alabama",91719,41.0,78169,8985,2325,373,73218,33571,9786,1873,38133,1044,202000,01,115
"Shelby County, Alabama",223916,40.0,174752,29118,13195,4491,90618,45701,15080,3662,89612,1272,276500,01,117
"Sumter County, Alabama",12196,35.8,3109,8813,85,57,31726,19720,3285,382,6329,770,88000,01,119
"Talladega County, Alabama",81105,42.1,51186,25893,1997,350,52457,29236,14436,2934,38088,750,131900,01,121
"Tallapoosa County, Alabama",41251,45.2,28516,10957,1010,190,53282,29682,6826,1814,22777,701,127100,01,123
"Tuscaloosa County, Alabama",231558,32.8,143889,74222,9261,3817,61645,32141,36412,6434,101330,974,218800,01,125
"Walker County, Alabama",64978,41.8,57555,3890,1868,123,52987,28204,10437,1550,30127,698,124100,01,127
"Washington County, Alabama",15434,43.7,10298,3608,261,62,51184,29210,2415,379,7779,698,138100,01,129
"Wilcox County, Alabama",10441,41.1,2876,7328,22,4,38208,20442,2735,401,5314,787,83200,01,131
"Winston County, Alabama",23655,45.4,22050,263,768,105,49494,26933,4217,452,13091,680,111600,01,133
"Aleutians East Borough, Alaska",3407,41.6,576,183,405,676,79961,42165,429,106,1089,1035,164100,02,013
"Aleutians West Census Area, Alaska",5219,39.2,1356,201,802,2123,100662,47339,478,110,1403,1672,377100,02,016
"Anchorage Municipality, Alaska",290674,34.5,172004,15469,28162,28440,95731,46554,27415,7747,118938,1405,363800,02,020
"Bethel Census Area, Alaska",18538,28.7,1678,215,399,262,64094,25859,4586,1265,6003,1408,120600,02,050
"Bristol Bay Borough, Alaska",854,36.4,387,3,74,48,94167,45499,66,12,875,1183,253400,02,060
"Chugach Census Area, Alaska",7000,37.8,5015,113,414,489,83068,44700,339,332,3760,1364,287900,02,063
"Copper River Census Area, Alaska",2614,43.1,1385,1,171,12,70606,37887,289,78,2564,877,235100,02,066
"Denali Borough, Alaska",2101,44.4,1591,48,35,73,87292,73692,150,26,1385,863,227000,02,068
"Dillingham Census Area, Alaska",4854,30.7,775,76,162,78,69412,31948,765,247,2417,1106,167700,02,070
"Fairbanks North Star Borough, Alaska",96299,32.1,68726,3979,8038,3032,81655,42744,6356,2458,42772,1360,276800,02,090
"Haines Borough, Alaska",2079,46.2,1682,0,170,68,68276,33585,121,36,1410,889,289200,02,100
"Hoonah-Angoon Census Area, Alaska",2329,50.0,1238,9,230,19,62344,39257,269,191,1708,996,243800,02,105
"Juneau City and Borough, Alaska",32108,39.0,20543,345,2300,2317,95711,49207,2176,762,14073,1464,404600,02,110
"Kenai Peninsula Borough, Alaska",59235,41.2,47151,424,2623,1021,76272,40720,7265,1971,32567,1126,280900,02,122
"Ketchikan Gateway Borough, Alaska",13910,40.6,8909,91,785,1180,82763,44368,1329,300,6615,1275,361000,02,130
"Kodiak Island Borough, Alaska",13065,35.1,6612,120,1150,2964,91138,39563,1027,373,5798,1646,355000,02,150
"Kusilvak Census Area, Alaska",8372,23.7,265,70,76,14,42663,17166,2836,647,2335,819,82200,02,158
"Lake and Peninsula Borough, Alaska",999,33.6,171,22,1,35,61607,39409,151,79,1380,933,167000,02,164
"Matanuska-Susitna Borough, Alaska",108661,36.3,86055,1392,6074,1956,86435,39201,10810,3446,50491,1242,296900,02,170
"Nome Census Area, Alaska",10018,29.1,1423,103,201,130,70121,28678,2041,746,4116,1349,181300,02,180
"North Slope Borough, Alaska",10924,36.3,3474,193,428,632,83472,61841,857,470,2625,1231,193800,02,185
"Northwest Arctic Borough, Alaska",7682,29.2,818,95,196,99,77647,32133,1405,482,2726,1386,147200,02,188
"Petersburg Borough, Alaska",3374,50.1,1948,39,306,602,77826,37856,153,77,1792,1074,279800,02,195
"Prince of Wales-Hyder Census Area, Alaska",5799,43.1,2613,22,236,80,61779,34433,879,224,3252,883,220800,02,198
"Sitka City and Borough, Alaska",8462,39.5,5269,58,626,667,95261,43964,571,230,4138,1309,424700,02,220
"Skagway Municipality, Alaska",1303,38.6,1017,40,32,29,79583,46771,81,96,631,1044,434300,02,230
"Southeast Fairbanks Census Area, Alaska",6888,36.9,5163,61,491,214,75378,33809,898,195,3537,1190,222200,02,240
"Wrangell City and Borough, Alaska",2134,48.9,1216,1,123,18,61000,35421,213,29,1350,966,273800,02,275
"Yakutat City and Borough, Alaska",564,41.3,173,12,37,114,76875,45578,56,6,420,1304,152100,02,282
"Yukon-Koyukuk Census Area, Alaska",5355,35.8,1239,10,143,72,47826,29382,1216,294,4018,906,86600,02,290
"Apache County, Arizona",66054,35.6,13556,585,4634,374,37483,18930,21058,1906,29032,635,62400,04,001
"Cochise County, Arizona",125504,41.4,89661,5001,44809,2435,58421,31423,17553,3220,59056,893,183000,04,003
"Coconino County, Arizona",144705,31.7,84752,2212,21314,2713,67266,32592,22531,5093,69233,1353,379400,04,005
"Gila County, Arizona",53419,50.6,37037,389,10276,383,55242,29945,9910,1395,32519,966,222500,04,007
"Graham County, Arizona",38453,34.1,26349,759,12885,284,64089,24052,6230,893,13755,856,178300,04,009
"Greenlee County, Arizona",9483,35.5,7158,171,4577,71,73756,29394,1208,129,4409,532,93900,04,011
"La Paz County, Arizona",16681,57.3,10593,94,4699,153,46634,30399,3435,657,13692,691,117500,04,012
"Maricopa County, Arizona",4430871,37.1,2954182,252690,1402753,189627,80675,41533,503565,108652,1821463,1437,371400,04,013
"Mohave County, Arizona",214229,52.9,178146,2422,37218,2313,53592,32835,33597,6118,118073,976,233700,04,015
"Navajo County, Arizona",107110,38.7,49409,1194,12728,418,50335,22826,26591,3647,56556,800,165600,04,017
